FID_x,Region_x,Country_x,Plant,NumReactor_x,Latitude_x,Longitude_x,p90_1200,p00_1200,p10_1200,p90u_1200,p00u_1200,p10u_1200,p90r_1200,p00r_1200,p10r_1200,p90_30,p00_30,p10_30,p90u_30,p00u_30,p10u_30,p90r_30,p00r_30,p10r_30,p90_75,p00_75,p10_75,p90u_75,p00u_75,p10u_75,p90r_75,p00r_75,p10r_75,p90_150,p00_150,p10_150,p90u_150,p00u_150,p10u_150,p90r_150,p00r_150,p10r_150,p90_600,p00_600,p10_600,p90u_600,p00u_600,p10u_600,p90r_600,p00r_600,p10r_600,p90_300,p00_300,p10_300,p90u_300,p00u_300,p10u_300,p90r_300,p00r_300,p10r_300,FID_y,Region_y,Country_y,Reactor,Plant_Loc,Latitude_y,Longitude_y,Status,Type,Start_Date,Year_Built,Grid_Date,Shutdown,Wikipedia,Photo,PhotoCred,NumReactor_y,Ref_2012,Totalpower,Ref_2011,Ref_2010,Ref_2009,Ref_2008,Ref_2007,Ref_2006,Ref_2005,Ref_2004,Ref_2003,Ref_2002,Ref_2001,Ref_2000,Ref_1999,Ref_1998,Ref_1997,Ref_1996,Ref_1995,Ref_1994,Ref_1993,Ref_1992,Ref_1991,Ref_1990,Ref_1989,Ref_1988,Ref_1987,Ref_1986,Ref_1985,Ref_1984,Ref_1983,Ref_1982,Ref_1981,Ref_1980,Ref_1979,Ref_1978,Ref_1977,Ref_1976,Ref_1975,Ref_1974,Ref_1973,Ref_1972,Ref_1971,Ref_1970,Ref_1969,Ref_1968,Ref_1967,Ref_1966,Ref_1965,Ref_1964,Ref_1963,Ref_1962,Ref_1961,Ref_1960,Ref_1959,Ref_1958,Ref_1957,Ref_1956
0,Europe - Western,SWEDEN,AGESTA,1,59.206022,18.082872,187382000,188684000,188250000,121178000.0,122299000.0,122399000.0,66203700,66384500,65851300,1290370.0,1430100.0,1500960.0,1210110.0,1338190.0,1404630.0,80258.1,91914.8,96332.4,1749300.0,1943540.0,2039670.0,1477160.0,1637730.0,1719060.0,272143.0,305814.0,320612.0,2615240.0,2819430.0,2958820.0,2020420.0,2186500.0,2295030.0,594825.0,632932.0,663787.0,27278800.0,27487400.0,27970900.0,18450800.0,18654200.0,18998400.0,8828010.0,8833200.0,8972550.0,5013240.0,5227700.0,5471110.0,3426880.0,3596030.0,3764920.0,1586350.0,1631670.0,1706190,592,Europe - Western,SWEDEN,AGESTA, ,59.206022,18.082872,Permanent Shutdown,Pressurised Heavy Water Reactor,12/1/1957,1957,5/1/1964,6/2/1974,http://en.wikipedia.org/wiki/%C3%85gesta_Nuclear_Plant,http://en.wikipedia.org/wiki/File:%C3%85gestaverket_2009a.jpg,Wikipedia,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Europe - Western,SPAIN,ALMARAZ,2,39.8081,-5.69694,136675000,147718000,163429000,87539700.0,93943200.0,103704000.0,49135800,53774400,59724600,48345.2,47108.5,53055.4,12804.0,12465.8,14039.9,35541.2,34642.7,39015.5,387982.0,380366.0,427595.0,97305.1,97451.7,109541.0,290677.0,282915.0,318054.0,1780790.0,1760250.0,1976690.0,539007.0,532195.0,599150.0,1241780.0,1228060.0,1377540.0,45748100.0,47356200.0,52724300.0,28920000.0,29888800.0,33270600.0,16828100.0,17467400.0,19453700.0,17756500.0,18187800.0,20185200.0,10986000.0,11415400.0,12689800.0,6770480.0,6772380.0,7495340,458,Europe - Western,SPAIN,ALMARAZ-1,Inland near a lake,39.8081,-5.69694,Operational,Pressurised Water Reactor,7/3/1973,1973,5/1/1981, ,http://en.wikipedia.org/wiki/Almaraz_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/6/6f/CentralAlmaraz.gif,Wikipedia,2,1011,2017,1011,1008.0,944.0,944.0,944.0,944,944.0,944.0,944.0,944.0,927.0,927.0,927.0,944.0,895.0,895.0,895.0,895.0,895,895.0,895.0,895.0,895.0,900,900,900,900,893,930,930,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Europe - Western,SPAIN,ALMARAZ,2,39.8081,-5.69694,136675000,147718000,163429000,87539700.0,93943200.0,103704000.0,49135800,53774400,59724600,48345.2,47108.5,53055.4,12804.0,12465.8,14039.9,35541.2,34642.7,39015.5,387982.0,380366.0,427595.0,97305.1,97451.7,109541.0,290677.0,282915.0,318054.0,1780790.0,1760250.0,1976690.0,539007.0,532195.0,599150.0,1241780.0,1228060.0,1377540.0,45748100.0,47356200.0,52724300.0,28920000.0,29888800.0,33270600.0,16828100.0,17467400.0,19453700.0,17756500.0,18187800.0,20185200.0,10986000.0,11415400.0,12689800.0,6770480.0,6772380.0,7495340,459,Europe - Western,SPAIN,ALMARAZ-2,Inland near a lake,39.8081,-5.69694,Operational,Pressurised Water Reactor,7/3/1973,1973,10/8/1983, ,http://en.wikipedia.org/wiki/Almaraz_Nuclear_Power_Planthttp://en.wikipedia.org/wiki/Almaraz_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/6/6f/CentralAlmaraz.gif,Wikipedia,2,1006,2017,1006,956.0,956.0,956.0,956.0,956,956.0,953.0,953.0,953.0,936.0,936.0,936.0,953.0,895.0,895.0,895.0,895.0,895,895.0,895.0,895.0,895.0,900,900,900,900,893,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,America - Latin,BRAZIL,ANGRA,3,-23.007857,-44.458098,99195200,113894000,127898000,67751500.0,77821400.0,87432200.0,31443800,36072700,40465800,129499.0,136945.0,153022.0,89127.7,94205.3,105253.0,40371.8,42739.8,47768.4,1185920.0,1269060.0,1420200.0,861635.0,920939.0,1030750.0,324285.0,348119.0,389459.0,12729100.0,13810300.0,15497100.0,10771500.0,11649400.0,13075800.0,1957570.0,2160900.0,2421330.0,63210700.0,71962200.0,80782600.0,48667100.0,55354300.0,62177000.0,14543600.0,16607900.0,18605600.0,39546400.0,44701700.0,50210600.0,32788500.0,37064600.0,41648300.0,6757940.0,7637110.0,8562300,5,America - Latin,BRAZIL,ANGRA-1,Seacoast,-23.007857,-44.458098,Operational,Pressurised Water Reactor,5/1/1971,1971,4/1/1982, ,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vista_Angra.jpg/800px-Vista_Angra.jpg,Wikipedia,3,609,3129,609,609.0,609.0,491.0,520.0,626,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626,626.0,626.0,626.0,626.0,626,626,626,626,626,626,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,America - Latin,BRAZIL,ANGRA,3,-23.007857,-44.458098,99195200,113894000,127898000,67751500.0,77821400.0,87432200.0,31443800,36072700,40465800,129499.0,136945.0,153022.0,89127.7,94205.3,105253.0,40371.8,42739.8,47768.4,1185920.0,1269060.0,1420200.0,861635.0,920939.0,1030750.0,324285.0,348119.0,389459.0,12729100.0,13810300.0,15497100.0,10771500.0,11649400.0,13075800.0,1957570.0,2160900.0,2421330.0,63210700.0,71962200.0,80782600.0,48667100.0,55354300.0,62177000.0,14543600.0,16607900.0,18605600.0,39546400.0,44701700.0,50210600.0,32788500.0,37064600.0,41648300.0,6757940.0,7637110.0,8562300,6,America - Latin,BRAZIL,ANGRA-2,Seacoast,-23.007857,-44.458098,Operational,Pressurised Water Reactor,1/1/1976,1976,7/21/2000, ,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vista_Angra.jpg/800px-Vista_Angra.jpg,Wikipedia,3,1275,3129,1275,1275.0,1275.0,1275.0,1275.0,1275,1275.0,1275.0,1275.0,1275.0,1350.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,America - Latin,BRAZIL,ANGRA,3,-23.007857,-44.458098,99195200,113894000,127898000,67751500.0,77821400.0,87432200.0,31443800,36072700,40465800,129499.0,136945.0,153022.0,89127.7,94205.3,105253.0,40371.8,42739.8,47768.4,1185920.0,1269060.0,1420200.0,861635.0,920939.0,1030750.0,324285.0,348119.0,389459.0,12729100.0,13810300.0,15497100.0,10771500.0,11649400.0,13075800.0,1957570.0,2160900.0,2421330.0,63210700.0,71962200.0,80782600.0,48667100.0,55354300.0,62177000.0,14543600.0,16607900.0,18605600.0,39546400.0,44701700.0,50210600.0,32788500.0,37064600.0,41648300.0,6757940.0,7637110.0,8562300,7,America - Latin,BRAZIL,ANGRA-3,Seacoast,-23.007857,-44.458098,Under Construction,Pressurised Water Reactor,6/1/2010,2010, , ,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vista_Angra.jpg/800px-Vista_Angra.jpg,Wikipedia,3,1245,3129,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.31032,-93.231289,117830000,132729000,146482000,92609500.0,104781000.0,115697000.0,25220200,27947300,30785400,75433.4,83087.4,91498.0,50851.5,55904.9,61560.0,24581.9,27182.5,29938.0,197016.0,218462.0,240679.0,106094.0,117525.0,129456.0,90921.7,100937.0,111223.0,1638330.0,1835830.0,2025750.0,1135330.0,1273300.0,1405830.0,503000.0,562533.0,619920.0,30481100.0,34037700.0,37542200.0,22678400.0,25410800.0,28044000.0,7802710.0,8626840.0,9498240.0,5603180.0,6226360.0,6866840.0,3779400.0,4198920.0,4633770.0,1823770.0,2027450.0,2233070,32,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE-1,Inland near a river,35.31032,-93.231289,Operational,Pressurised Water Reactor,10/1/1968,1968,8/17/1974, ,http://en.wikipedia.org/wiki/Arkansas_Nuclear_One,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/RusselvillePowerplant.jpg/800px-RusselvillePowerplant.jpg,Wikipedia,2,842,1835,842,842.0,842.0,843.0,843.0,836,840.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836,836.0,836.0,836.0,836.0,836,836,836,836,836,836,836,836,836,836,836,836,836,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.31032,-93.231289,117830000,132729000,146482000,92609500.0,104781000.0,115697000.0,25220200,27947300,30785400,75433.4,83087.4,91498.0,50851.5,55904.9,61560.0,24581.9,27182.5,29938.0,197016.0,218462.0,240679.0,106094.0,117525.0,129456.0,90921.7,100937.0,111223.0,1638330.0,1835830.0,2025750.0,1135330.0,1273300.0,1405830.0,503000.0,562533.0,619920.0,30481100.0,34037700.0,37542200.0,22678400.0,25410800.0,28044000.0,7802710.0,8626840.0,9498240.0,5603180.0,6226360.0,6866840.0,3779400.0,4198920.0,4633770.0,1823770.0,2027450.0,2233070,33,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE-2,Inland near a river,35.31032,-93.231289,Operational,Pressurised Water Reactor,12/6/1968,1968,12/26/1978, ,http://en.wikipedia.org/wiki/Arkansas_Nuclear_One,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/RusselvillePowerplant.jpg/800px-RusselvillePowerplant.jpg,Wikipedia,2,993,1835,993,993.0,997.0,995.0,995.0,998,1000.0,1000.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858,858.0,858.0,858.0,858.0,858,858,858,858,858,858,858,858,890,912,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Europe - Western,SPAIN,ASCO,2,41.2,0.56667,271854000,287134000,308922000,190825000.0,200465000.0,215092000.0,81029500,86668900,93830000,52259.6,52798.8,59487.4,6175.11,6217.22,7005.19,46084.4,46581.6,52482.2,849379.0,884514.0,996212.0,526660.0,552737.0,622489.0,322719.0,331777.0,373722.0,6124550.0,6282850.0,7074890.0,5224790.0,5360780.0,6038210.0,899758.0,922070.0,1036680.0,51672500.0,54943800.0,61100300.0,36615500.0,39068900.0,43505600.0,15057000.0,15874900.0,17594700.0,14398500.0,15095600.0,16830700.0,11215400.0,11773600.0,13151300.0,3183180.0,3322050.0,3679470,460,Europe - Western,SPAIN,ASCO-1,Inland near a river,41.2,0.56667,Operational,Pressurised Water Reactor,5/16/1974,1974,8/13/1983, ,http://en.wikipedia.org/wiki/Asc%C3%B3_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Central_Nuclear_d%27Asc%C3%B3_%28Tarragona%2C_Catalunya%29.jpg/800px-Central_Nuclear_d%27Asc%C3%B3_%28Tarragona%2C_Catalunya%29.jpg,Wikipedia,2,995,1992,995,995.0,995.0,995.0,995.0,995,995.0,995.0,995.0,998.0,991.0,991.0,945.0,949.0,915.0,947.0,900.0,930.0,930,887.0,930.0,930.0,930.0,898,898,898,898,887,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Europe - Western,SPAIN,ASCO,2,41.2,0.56667,271854000,287134000,308922000,190825000.0,200465000.0,215092000.0,81029500,86668900,93830000,52259.6,52798.8,59487.4,6175.11,6217.22,7005.19,46084.4,46581.6,52482.2,849379.0,884514.0,996212.0,526660.0,552737.0,622489.0,322719.0,331777.0,373722.0,6124550.0,6282850.0,7074890.0,5224790.0,5360780.0,6038210.0,899758.0,922070.0,1036680.0,51672500.0,54943800.0,61100300.0,36615500.0,39068900.0,43505600.0,15057000.0,15874900.0,17594700.0,14398500.0,15095600.0,16830700.0,11215400.0,11773600.0,13151300.0,3183180.0,3322050.0,3679470,461,Europe - Western,SPAIN,ASCO-2,Inland near a river,41.2,0.56667,Operational,Pressurised Water Reactor,3/7/1975,1975,10/23/1985, ,http://en.wikipedia.org/wiki/Asc%C3%B3_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Central_Nuclear_d%27Asc%C3%B3_%28Tarragona%2C_Catalunya%29.jpg/800px-Central_Nuclear_d%27Asc%C3%B3_%28Tarragona%2C_Catalunya%29.jpg,Wikipedia,2,997,1992,997,997.0,997.0,997.0,997.0,997,997.0,997.0,997.0,997.0,983.0,983.0,946.0,946.0,900.0,966.0,900.0,930.0,930,953.0,930.0,930.0,930.0,898,898,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
